Feature,Farm Starter,Marketplace Exporter,Producer GMP,Lab & CoA Partner,Export Enterprise,A-la-carte (THB)
Abo / Monat (THB),4900,9900,29000,14900,from 120000,
Transaktion,3500/GACP-Audit,4% + 1500/Listing,35000/AI-Audit + 59000 Cert-Setup,900/CoA,reduced commissions + API quota,
Gateway-Onboarding (TH),included,included,included,included,included,included
Farm Self-Audit,included,+1900/mo,included,+1900/mo,included,+1900/mo
GACP-Roadmap (DTAM),included,+2500/mo,included,+2500/mo,included,+2500/mo
Document Vault,Basic,included,included,included,included,-
Audit Passport,Read,Read,Create,Contribute,Create,-
AI Video Audit / ShinrAi,35000/audit,35000/audit,included,35000/audit,included,35000/audit
EU-GMP-Roadmap + CAPA,+6900/mo,+6900/mo,included,+6900/mo,included,+6900/mo
Marketplace Listings / Auctions,+4900/mo,included,+4900/mo,+4900/mo,included,+4900/mo
Sample-Request-Fulfillment,+1500/mo,included,included,+1500/mo,included,+1500/mo
CoA-Upload & Verification,900/CoA,900/CoA,included,Master,included,900/CoA
Batch-Master + Release-State,+2400/mo,included,included,+2400/mo,included,+2400/mo
Export-Docs / GDP Cold-Chain,+3200/mo,included,included,+3200/mo,included,+3200/mo
Thai-FDA / Narcotics-Permit-Tracking,+2800/mo,+2800/mo,included,+2800/mo,included,+2800/mo
Europe-Portal (EU destination),+9900/mo,+9900/mo,+9900/mo,+9900/mo,included,+9900/mo
API access,+5900/mo,+5900/mo,+5900/mo,Read,Full,+5900/mo
Users / Sites,3 / 1,5 / 1,15 / Multi,8 / 1,unlimited / Multi,+2900/site
