ID,Service,Domaene,CannaWorld-Teil,Delivery-Typ,Reife,Beleg (Code)
CUL-01,Farm Self-Audit (Einreichung),Cultivation/Farm,Germany,AI+Mensch,im Code,supabase/functions/germany-farm-audit-submit; src/pages/dashboard/FarmSelfAudit.tsx; src/hooks/useFarmAuditSubmissions.ts
CUL-02,Farm-Audit Freigabe/Entscheidung,Cultivation/Farm,Germany,Mensch,im Code,supabase/functions/germany-farm-audit-decide; src/pages/dashboard/FarmReview.tsx
CUL-03,Farm-Produzenten-Register,Cultivation/Farm,Gateway/TH,Plattform,im Code,src/hooks/useFarmProducers.ts (thailand-farm-producers)
CUL-04,Farm-Workspace,Cultivation/Farm,Germany,Plattform,im Code,src/hooks/useFarmWorkspace.ts; src/lib/farm-workspace
CUL-05,Farm-Dashboard,Cultivation/Farm,Germany,Plattform,im Code,src/hooks/useFarmDashboard.ts
CUL-06,Farm-Onboarding,Cultivation/Farm,Germany,Plattform,im Code,src/lib/farm-onboarding.ts
QUA-01,Batch-Verwaltung (Master),Quality/GxP,Germany,Plattform,im Code,src/hooks/useBatches.ts (germany-batches); src/pages/dashboard/Batches.tsx
QUA-02,Batch-Verifizierung,Quality/GxP,Germany,AI+Mensch,im Code,supabase/functions/germany-batch-verify; src/pages/dashboard/BatchVerification.tsx; src/hooks/useBatchVerifications.ts
QUA-03,Batch-Provenance/Herkunftslinks,Quality/GxP,Marketplace,Plattform,im Code,src/hooks/useBatchProvenanceLinks.ts; src/lib/marketplace-provenance.ts
QUA-04,CoA-Parsing (LIMS),Quality/GxP,Germany,AI,im Code,supabase/functions/germany-coa-parse; src/lib/lims-api.ts (parseCoA)
QUA-05,QP-Release,Quality/GxP,Germany,Mensch,im Code,src/lib/lims-api.ts (requestQpRelease); src/hooks/use-qp-release.ts; src/pages/dashboard/QPRelease.tsx
QUA-06,Annex-16-Checkliste,Quality/GxP,Germany,Plattform,im Code,src/lib/annex16-checklist.ts
QUA-07,Pre-Audit Gap-Report,Quality/GxP,AICert,AI,im Code,src/lib/pre-audit-gap-generator.ts (generatePreAuditReport)
QUA-08,Batch-Compliance-Pruefung,Quality/GxP,Germany,Plattform,im Code,src/lib/regulatory-requirements.ts (checkBatchCompliance); src/pages/dashboard/Compliance.tsx
QUA-09,Facility-Compliance-Pruefung,Quality/GxP,Germany,Plattform,im Code,src/lib/facility-compliance-rules.ts (runComplianceCheck)
TRU-01,Audit Passport,Trust/Audit,AICert,Plattform,im Code,src/pages/dashboard/AuditPassport.tsx; src/lib/audit-status-api.ts
TRU-02,Audit-Logging,Trust/Audit,uebergreifend,Plattform,im Code,src/lib/audit-logger.ts
TRU-03,Realtime-Audit,Trust/Audit,uebergreifend,Plattform,im Code,src/hooks/useRealtimeAudit.ts
TRU-04,Dokumenten-Integritaets-Scan,Trust/Audit,Germany,AI,im Code,src/lib/document-integrity.ts (scanDocuments); src/lib/integrity-api.ts
TRU-05,Post-Quantum Audit-Chain (Dilithium/Kyber),Trust/Audit,uebergreifend,Plattform,im Code,src/lib/quantum-crypto.ts (chainedAuditHash; verifyAuditChain; signWithDilithium)
TRU-06,Zertifikats-Verifizierung,Trust/Audit,AICert/Marketplace,Plattform,im Code,src/lib/audit-status-api.ts (verifyCertificate); vendor/.../marketplace-api.ts (verifyCertificateViaMarketplace); src/hooks/use-certificates.ts
TRU-07,AICert-Scan,Trust/Audit,AICert,AI,im Code,vendor/cannaworld-sdk/src/regulatory-api.ts (triggerAiCertScan)
TRU-08,Universe-/Company-Compliance-Stats,Trust/Audit,uebergreifend,Plattform,im Code,src/lib/audit-status-api.ts (getUniverseStats; getCompanyCompliance)
REG-01,Regulatorische Anforderungen/Cert-Hierarchie,Regulatory,Germany,Plattform,im Code,src/lib/regulatory-requirements.ts (CERT_HIERARCHY; certMeetsRequirement)
REG-02,Regulatory AI-Scan,Regulatory,AICert,AI,im Code,vendor/cannaworld-sdk/src/regulatory-api.ts (runRegulatoryAiScan)
REG-03,Regulatory Updates/Alerts,Regulatory,Europe,AI,im Code,vendor/.../regulatory-api.ts (getRegulatoryUpdates; aggregateRegulatoryUpdates; syncRegulatoryAlert)
